code,name,type,address,phone,lon,lat
11601,私立育才國小,私立,[234]新北市永和區福和路125巷20號,(02)29214630,121.521642,25.007061
11602,私立聖心國小,私立,[249]新北市八里區龍米路一段261號,(02)26182330,121.450368,25.134217
11603,私立及人國小,私立,[234]新北市永和區文化路172號,(02)29212145,121.512035,25.015664
11604,私立竹林國小,私立,[234]新北市永和區竹林路34號,(02)29243919,121.517309,25.014492
11606,私立信賢種籽親子實小,私立,[233]新北市烏來區信賢里娃娃谷41號,(02)26616648,121.528619,24.838733
13601,市立北大國小,公立,[237]新北市三峽區國光街100號,(02)86716836,121.372986,24.939198
13602,市立新林國小,公立,[244]新北市林口區三民路101號,(02)26086521,121.359475,25.069576
14601,市立板橋國小,公立,[220]新北市板橋區黃石里文化路一段23號,(02)29686834,121.458198,25.010805
14602,市立國光國小,公立,[220]新北市板橋區中正路325巷30號,(02)29680611,121.45335,25.019421
14603,市立新埔國小,公立,[220]新北市板橋區新翠里陽明街206號,(02)22571830,121.462594,25.025883
14604,市立埔墘國小,公立,[220]新北市板橋區永豐街42之8號,(02)29616690,121.474076,25.018075
14605,市立莒光國小,公立,[220]新北市板橋區華翠里莒光路163號,(02)22517272,121.474228,25.025182
14606,市立後埔國小,公立,[220]新北市板橋區重慶路157號,(02)29614142,121.462699,25.003346
14607,市立海山國小,公立,[220]新北市板橋區漢生東路280號,(02)29545725,121.470904,25.009551
14608,市立江翠國小,公立,[220]新北市板橋區松翠里文化路二段413號,(02)22526880,121.473906,25.031402
14610,市立文聖國小,公立,[220]新北市板橋區文聖街86號,(02)22530782,121.477474,25.029222
14611,市立沙崙國小,公立,[220]新北市板橋區篤行路二段132號,(02)26812764,121.430535,24.989747
14612,市立文德國小,公立,[220]新北市板橋區新翠里英士路179號,(02)22577193,121.460294,25.024448
14613,市立樹林國小,公立,[238]新北市樹林區樹西里育英街176號,(02)26812014,121.41783,24.989426
14614,市立文林國小,公立,[238]新北市樹林區潭底里千歲街59號,(02)26812625,121.4261,24.997506
14615,市立大同國小,公立,[238]新北市樹林區大同里大同街43號,(02)86865486,121.41752,24.981311
14616,市立武林國小,公立,[238]新北市樹林區保安街二段151號,(02)26812475,121.415363,25.001646
14617,市立山佳國小,公立,[238]新北市樹林區中山路三段5號,(02)26806673,121.401751,24.975518
14618,市立育德國小,公立,[238]新北市樹林區中山里佳園路一段34號,(02)26805557,121.392501,24.970894
14619,市立柑園國小,公立,[238]新北市樹林區柑園街一段353號,(02)26802507,121.389476,24.955669
14620,市立鶯歌國小,公立,[239]新北市鶯歌區同慶里尖山埔路106號,(02)26792038,121.345764,24.95118
14621,市立二橋國小,公立,[239]新北市鶯歌區二橋里中正三路106號,(02)26792364,121.337631,24.940871
14622,市立中湖國小,公立,[239]新北市鶯歌區中湖里中湖街25號,(02)86775640,121.348097,24.972981
14623,市立鳳鳴國小,公立,[239]新北市鶯歌區鳳鳴里永和街120號,(02)26797554,121.335053,24.969139
14624,市立三峽國小,公立,[237]新北市三峽區中山路16號,(02)26711018,121.367549,24.934999
14625,市立大埔國小,公立,[237]新北市三峽區大埔路130號,(02)26712523,121.366463,24.905743
14626,市立民義國小,公立,[237]新北市三峽區嘉添里白雞路40號,(02)26711895,121.375459,24.912037
14627,市立成福國小,公立,[237]新北市三峽區溪東里溪東路213號,(02)86764945,121.405689,24.933202
14628,市立大成國小,公立,[237]新北市三峽區成福路251巷二號,(02)26726521,121.427503,24.924215
14629,市立建安國小,公立,[237]新北市三峽區安坑里建安路67號,(02)26726783,121.4473779,24.9268045
14630,市立插角國小,公立,[237]新北市三峽區插角里插角路39號,(02)26720230,121.399141,24.853735
14631,市立有木國小,公立,[237]新北市三峽區有木里131號,(02)26720067,121.437343,24.853252
14632,市立五寮國小,公立,[237]新北市三峽區五寮里69號,(02)26720298,121.355858,24.850826
14633,市立中和國小,公立,[235]新北市中和區中和路100號,(02)22492550,121.501611,24.99986
14634,市立復興國小,公立,[235]新北市中和區復興路301巷6號,(02)22472993,121.50193,24.989646
14635,市立興南國小,公立,[235]新北市中和區興南路一段135巷24號,(02)29422349,121.509128,24.98673
14636,市立秀山國小,公立,[235]新北市中和區立人街2號,(02)29434353,121.521164,24.994223
14637,市立積穗國小,公立,[235]新北市中和區員山路154號,(02)22225533,121.481398,24.999057
14638,市立自強國小,公立,[235]新北市中和區莒光路200號,(02)29557936,121.471895,24.998463
14639,市立錦和國小,公立,[235]新北市中和區圓通路292號,(02)22479495,121.489565,24.98947
14640,市立景新國小,公立,[235]新北市中和區景新街467巷37號,(02)29448021,121.514994,24.989301
14641,市立永和國小,公立,[234]新北市永和區秀朗路一段120號,(02)29214615,121.51699,25.003609
14642,市立秀朗國小,公立,[234]新北市永和區得和路202號,(02)29420451,121.52141,24.999679
14643,市立頂溪國小,公立,[234]新北市永和區文化路133號,(02)29212058,121.510583,25.015162
14644,市立網溪國小,公立,[234]新北市永和區竹林路79號,(02)89264470,121.51934,25.012936
14645,市立永平國小,公立,[234]新北市永和區保生路25號,(02)29259879,121.505717,25.008053
14646,市立土城國小,公立,[236]新北市土城區興城路17號,(02)22700177,121.441935,24.972383
14647,市立清水國小,公立,[236]新北市土城區金城路二段356號,(02)22618316,121.461507,24.984401
14648,市立頂埔國小,公立,[236]新北市土城區頂福里中央路四段205號,(02)22686800,121.414332,24.956201
14649,市立廣福國小,公立,[236]新北市土城區學府路一段127號,(02)22626782,121.454896,24.986953
14650,市立汐止國小,公立,[221]新北市汐止區大同路二段313號,(02)26477271,121.65525,25.066922
14651,市立長安國小,公立,[221]新北市汐止區長興街一段80號,(02)86480944,121.670699,25.079384
14652,市立保長國小,公立,[221]新北市汐止區大同路三段553號,(02)86482502,121.681152,25.071863
14653,市立崇德國小,公立,[221]新北市汐止區茄苳里茄苳路158號,(02)86482052,121.669,25.069433
14654,市立北港國小,公立,[221]新北市汐止區汐萬路二段279號,(02)26462832,121.645075,25.089141
14655,市立北峰國小,公立,[221]新北市汐止區中興里環河街1號,(02)26941817,121.632833,25.063818
14656,市立東山國小,公立,[221]新北市汐止區東山里汐平路二段76號,(02)26416170,121.699896,25.05997
14657,市立白雲國小,公立,[221]新北市汐止區福山里民權街二段90號,(02)26403909,121.618905,25.047727
14658,市立萬里國小,公立,[207]新北市萬里區瑪鋉路18號,(02)24922034,121.688188,25.176174
14659,市立野柳國小,公立,[207]新北市萬里區野柳里港東路167號,(02)24922512,121.689442,25.205606
14660,市立大鵬國小,公立,[207]新北市萬里區大鵬里加投路14號,(02)24988131,121.65597,25.209624
14661,市立大坪國小,公立,[207]新北市萬里區雙興里大坪路1號,(02)24929461,121.638493,25.16747508
14662,市立崁腳國小,公立,[207]新北市萬里區崁?里崁?路59號,(02)24922037,121.6493897,25.16047038
14663,市立金山國小,公立,[208]新北市金山區中山路234號,(02)24981125,121.636519,25.222963
14664,市立中角國小,公立,[208]新北市金山區萬壽里海興路49號,(02)24982413,121.630584,25.239754
14665,市立三和國小,公立,[208]新北市金山區重和里11鄰六股林口38號,(02)24080417,121.602889,25.218889
14666,市立新店國小,公立,[231]新北市新店區新店路2號,(02)29103483,121.540227,24.952909
14667,市立直潭國小,公立,[231]新北市新店區直潭路92號,(02)26667278,121.531321,24.937814
14668,市立青潭國小,公立,[231]新北市新店區北宜路二段80號,(02)22173146,121.552255,24.95314
14669,市立雙峰國小,公立,[231]新北市新店區北宜路三段66號,(02)22174543,121.575393,24.951153
14670,市立大豐國小,公立,[231]新北市新店區民族路108號,(02)22192619,121.538192,24.977578
14671,市立中正國小,公立,[231]新北市新店區三民路36號,(02)29125432,121.536638,24.971737
14672,市立安坑國小,公立,[231]新北市新店區安忠路36號,(02)22110560,121.514157,24.9613
14673,市立雙城國小,公立,[231]新北市新店區安康路三段322號,(02)22156511,121.486538,24.952069
14674,市立屈尺國小,公立,[231]新北市新店區屈尺路55號,(02)26667490,121.546274,24.922509
14675,市立龜山國小,公立,[231]新北市新店區新烏路三段99巷10號,(02)26667317,121.553213,24.902191
14676,市立深坑國小,公立,[222]新北市深坑區深坑里文化街45號,(02)26624675,121.616874,25.001802
14677,市立石碇國小,公立,[223]新北市石碇區石碇里石碇西街15號,(02)26631244,121.658955,24.990262
14678,市立和平國小,公立,[223]新北市石碇區隆盛里八分寮5號,(02)26631405,121.642059,25.011856
14679,市立永定國小,公立,[223]新北市石碇區永定里靜安路一段245號,(02)26631288,121.688007,25.007795
14680,市立雲海國小,公立,[223]新北市石碇區北宜路五段坑內巷1號,(02)26651715,121.637192,24.953129
14682,市立坪林國小,公立,[232]新北市坪林區坪林里坪林街114號,(02)26656213,121.71088,24.936237
14684,市立烏來國(中)小,公立,[233]新北市烏來區啦卡路5號,(02)26616482,121.554224,24.863038
14685,市立福山國小,公立,[233]新北市烏來區福山里李茂岸56號,(02)26616124,121.501979,24.777315
14686,市立瑞芳國小,公立,[224]新北市瑞芳區龍川里中山路2號,(02)24972058,121.804423,25.108049
14687,市立義方國小,公立,[224]新北市瑞芳區龍山里逢甲路360號,(02)24970961,121.802116,25.113092
14688,市立瑞柑國小,公立,[224]新北市瑞芳區明燈路一段18巷13號,(02)24971009,121.822778,25.109378
14689,市立瑞濱國小,公立,[224]新北市瑞芳區瑞濱路34號,(02)24978184,121.81997,25.120533
14690,市立九份國小,公立,[224]新北市瑞芳區永慶里崙頂路145號,(02)24972263,121.843102,25.107195
14691,市立瓜山國小,公立,[224]新北市瑞芳區石山里五號路306號,(02)24962036,121.856775,25.111153
14692,市立濂洞國小,公立,[224]新北市瑞芳區?洞里洞頂路101巷80號,(02)24961330,121.860068,25.12235
14693,市立猴硐國小,公立,[224]新北市瑞芳區弓橋里九芎橋路69-1號,(02)24960450,121.833466,25.095604
14694,市立瑞亭國小,公立,[224]新北市瑞芳區四腳亭埔路23號,(02)24971726,121.7778342,25.10272222
14695,市立吉慶國小,公立,[224]新北市瑞芳區吉安里大埔路95號,(02)24576405,121.764393,25.101326
14696,市立鼻頭國小,公立,[224]新北市瑞芳區鼻頭里鼻頭路99號,(02)24911571,121.919411,25.120771
14697,市立雙溪國小,公立,[227]新北市雙溪區共和里東榮街54號,(02)24931005,121.866978,25.033522
14698,市立柑林國小,公立,[227]新北市雙溪區長源里柑腳3號,(02)24931624,121.804558,25.015129
14699,市立上林國小,公立,[227]新北市雙溪區上林里內平林60號,(02)24931671,121.831967,25.029032
14700,市立牡丹國小,公立,[227]新北市雙溪區三貂里政光路3號,(02)24931240,121.851748,25.062725
14702,市立貢寮國小,公立,[228]新北市貢寮區雙玉里學苑街7號,(02)24941274,121.915086,25.022017
14703,市立福隆國小,公立,[228]新北市貢寮區福隆里東興街35號,(02)24991449,121.948825,25.017607
