"company","store","code","address","phone","lon","lat"
"7_11","篤勝門市","209122","基隆市七堵區大德路103號","02-24516884",121.691537764668,25.0828094809969
"7_11","六工門市","163512","基隆市七堵區工建路1之22號1之23號1樓","02-24529983",121.701815293366,25.088745282793
"7_11","永富門市","189075","基隆市七堵區永富路99號101號103號1樓","02-24557494",121.712182816535,25.0984193305849
"7_11","巧龍門市","891246","基隆市七堵區百三街61號","02-24517061",121.695879653545,25.0820463365433
"7_11","正光門市","132415","基隆市七堵區自治街9號11號","02-24564983",121.71305069337,25.0962182516899
"7_11","七堵門市","171007","基隆市七堵區明德一路174號","02-24562044",121.714412326301,25.0979778383073
"7_11","七堵站門市","210720","基隆市七堵區東新街2號1樓","02-24556740",121.714584144951,25.0931813908303
"7_11","篤鑫門市","119216","基隆市七堵區堵南街22-1號1樓","02-24527780",121.686418390207,25.0825538183776
"7_11","華新一門市","144670","基隆市七堵區華新一路22號26號1樓","02-24519705",121.6744140413,25.0855150221324
"7_11","福聚門市","141338","基隆市七堵區實踐路286號福二街229號1樓","02-24524570",121.695324187443,25.0873520081467
"7_11","福二門市","210535","基隆市七堵區福二街157號1樓","02-24525754",121.695925795507,25.0843705031721
"7_11","新五福門市","127114","基隆市七堵區福五街80號82號1樓","02-24529901",121.698725013349,25.0848790774198
"7_11","新大慶門市","240983","基隆市中山區中和路168巷7弄13號15號1樓","02-24367046",121.715836108771,25.14987377506
"7_11","港富門市","208082","基隆市中山區中華路93號","02-24284463",121.737904845448,25.1474946377025
"7_11","富華門市","119788","基隆市中山區中華路9號","02-24369132",121.738582428734,25.1452204363878
"7_11","聖心門市","118419","基隆市中山區西定路38號40號","02-24249719",121.7354560916,25.1323767408554
"7_11","德復門市","170255","基隆市中山區復興路193號195號197號1樓","02-24374364",121.726263516746,25.1461511691845
"7_11","德欣門市","239271","基隆市中山區復興路328號之6號之7號1樓","02-24378991",121.727006236531,25.1494745080743
"7_11","豐勝門市","928368","基隆市中正區中正路322號","02-24631011",121.76097835083,25.1425495306166
"7_11","旭東門市","197777","基隆市中正區中正路54號","02-24274196",121.745543060594,25.1341843861817
